time,cell.count,cell.line,drug,conc,well,expt.date
0,287,MDAMB231,phen,0,B02,9/1/13
17,502,MDAMB231,phen,0,B02,9/1/13
24,581,MDAMB231,phen,0,B02,9/1/13
42,1110,MDAMB231,phen,0,B02,9/1/13
49,1372,MDAMB231,phen,0,B02,9/1/13
64,2207,MDAMB231,phen,0,B02,9/1/13
72,2806,MDAMB231,phen,0,B02,9/1/13
85,4222,MDAMB231,phen,0,B02,9/1/13
97,5478,MDAMB231,phen,0,B02,9/1/13
0,231,MDAMB231,phen,1.53E-07,B03,9/1/13
17,444,MDAMB231,phen,1.53E-07,B03,9/1/13
24,565,MDAMB231,phen,1.53E-07,B03,9/1/13
42,1067,MDAMB231,phen,1.53E-07,B03,9/1/13
49,1293,MDAMB231,phen,1.53E-07,B03,9/1/13
64,2176,MDAMB231,phen,1.53E-07,B03,9/1/13
72,2731,MDAMB231,phen,1.53E-07,B03,9/1/13
85,3907,MDAMB231,phen,1.53E-07,B03,9/1/13
97,5256,MDAMB231,phen,1.53E-07,B03,9/1/13
0,272,MDAMB231,phen,6.10E-07,B04,9/1/13
17,523,MDAMB231,phen,6.10E-07,B04,9/1/13
24,629,MDAMB231,phen,6.10E-07,B04,9/1/13
42,1181,MDAMB231,phen,6.10E-07,B04,9/1/13
49,1353,MDAMB231,phen,6.10E-07,B04,9/1/13
64,2359,MDAMB231,phen,6.10E-07,B04,9/1/13
72,2736,MDAMB231,phen,6.10E-07,B04,9/1/13
85,4308,MDAMB231,phen,6.10E-07,B04,9/1/13
97,5444,MDAMB231,phen,6.10E-07,B04,9/1/13
0,258,MDAMB231,phen,2.44E-06,B05,9/1/13
17,455,MDAMB231,phen,2.44E-06,B05,9/1/13
24,564,MDAMB231,phen,2.44E-06,B05,9/1/13
42,1017,MDAMB231,phen,2.44E-06,B05,9/1/13
49,1193,MDAMB231,phen,2.44E-06,B05,9/1/13
64,1905,MDAMB231,phen,2.44E-06,B05,9/1/13
72,2578,MDAMB231,phen,2.44E-06,B05,9/1/13
85,3518,MDAMB231,phen,2.44E-06,B05,9/1/13
97,4819,MDAMB231,phen,2.44E-06,B05,9/1/13
0,356,MDAMB231,phen,9.77E-06,B06,9/1/13
17,653,MDAMB231,phen,9.77E-06,B06,9/1/13
24,748,MDAMB231,phen,9.77E-06,B06,9/1/13
42,1095,MDAMB231,phen,9.77E-06,B06,9/1/13
49,1285,MDAMB231,phen,9.77E-06,B06,9/1/13
64,1850,MDAMB231,phen,9.77E-06,B06,9/1/13
72,2240,MDAMB231,phen,9.77E-06,B06,9/1/13
85,3054,MDAMB231,phen,9.77E-06,B06,9/1/13
97,3950,MDAMB231,phen,9.77E-06,B06,9/1/13
0,383,MDAMB231,phen,3.91E-05,B07,9/1/13
17,525,MDAMB231,phen,3.91E-05,B07,9/1/13
24,545,MDAMB231,phen,3.91E-05,B07,9/1/13
42,601,MDAMB231,phen,3.91E-05,B07,9/1/13
49,609,MDAMB231,phen,3.91E-05,B07,9/1/13
64,649,MDAMB231,phen,3.91E-05,B07,9/1/13
72,704,MDAMB231,phen,3.91E-05,B07,9/1/13
85,787,MDAMB231,phen,3.91E-05,B07,9/1/13
97,835,MDAMB231,phen,3.91E-05,B07,9/1/13
0,274,MDAMB231,phen,0.000156,B08,9/1/13
17,382,MDAMB231,phen,0.000156,B08,9/1/13
24,404,MDAMB231,phen,0.000156,B08,9/1/13
42,429,MDAMB231,phen,0.000156,B08,9/1/13
49,437,MDAMB231,phen,0.000156,B08,9/1/13
64,496,MDAMB231,phen,0.000156,B08,9/1/13
72,486,MDAMB231,phen,0.000156,B08,9/1/13
85,510,MDAMB231,phen,0.000156,B08,9/1/13
97,544,MDAMB231,phen,0.000156,B08,9/1/13
0,276,MDAMB231,phen,0.000625,B09,9/1/13
17,402,MDAMB231,phen,0.000625,B09,9/1/13
24,422,MDAMB231,phen,0.000625,B09,9/1/13
42,455,MDAMB231,phen,0.000625,B09,9/1/13
49,450,MDAMB231,phen,0.000625,B09,9/1/13
64,491,MDAMB231,phen,0.000625,B09,9/1/13
72,483,MDAMB231,phen,0.000625,B09,9/1/13
85,509,MDAMB231,phen,0.000625,B09,9/1/13
97,512,MDAMB231,phen,0.000625,B09,9/1/13
0,267,MDAMB231,phen,0.0025,B10,9/1/13
17,360,MDAMB231,phen,0.0025,B10,9/1/13
24,354,MDAMB231,phen,0.0025,B10,9/1/13
42,317,MDAMB231,phen,0.0025,B10,9/1/13
49,309,MDAMB231,phen,0.0025,B10,9/1/13
64,237,MDAMB231,phen,0.0025,B10,9/1/13
72,251,MDAMB231,phen,0.0025,B10,9/1/13
85,206,MDAMB231,phen,0.0025,B10,9/1/13
97,182,MDAMB231,phen,0.0025,B10,9/1/13
0,327,MDAMB231,phen,0.01,B11,9/1/13
17,382,MDAMB231,phen,0.01,B11,9/1/13
24,386,MDAMB231,phen,0.01,B11,9/1/13
42,243,MDAMB231,phen,0.01,B11,9/1/13
49,216,MDAMB231,phen,0.01,B11,9/1/13
64,232,MDAMB231,phen,0.01,B11,9/1/13
72,214,MDAMB231,phen,0.01,B11,9/1/13
85,230,MDAMB231,phen,0.01,B11,9/1/13
97,247,MDAMB231,phen,0.01,B11,9/1/13
0,354,MDAMB231,phen,0,C02,9/1/13
17,639,MDAMB231,phen,0,C02,9/1/13
24,778,MDAMB231,phen,0,C02,9/1/13
42,1429,MDAMB231,phen,0,C02,9/1/13
49,1763,MDAMB231,phen,0,C02,9/1/13
64,2860,MDAMB231,phen,0,C02,9/1/13
72,3761,MDAMB231,phen,0,C02,9/1/13
85,5263,MDAMB231,phen,0,C02,9/1/13
97,6283,MDAMB231,phen,0,C02,9/1/13
0,372,MDAMB231,phen,1.53E-07,C03,9/1/13
17,659,MDAMB231,phen,1.53E-07,C03,9/1/13
24,806,MDAMB231,phen,1.53E-07,C03,9/1/13
42,1519,MDAMB231,phen,1.53E-07,C03,9/1/13
49,1838,MDAMB231,phen,1.53E-07,C03,9/1/13
64,3000,MDAMB231,phen,1.53E-07,C03,9/1/13
72,3788,MDAMB231,phen,1.53E-07,C03,9/1/13
85,5155,MDAMB231,phen,1.53E-07,C03,9/1/13
97,6275,MDAMB231,phen,1.53E-07,C03,9/1/13
0,386,MDAMB231,phen,6.10E-07,C04,9/1/13
17,685,MDAMB231,phen,6.10E-07,C04,9/1/13
24,831,MDAMB231,phen,6.10E-07,C04,9/1/13
42,1485,MDAMB231,phen,6.10E-07,C04,9/1/13
49,1878,MDAMB231,phen,6.10E-07,C04,9/1/13
64,3001,MDAMB231,phen,6.10E-07,C04,9/1/13
72,3864,MDAMB231,phen,6.10E-07,C04,9/1/13
85,5192,MDAMB231,phen,6.10E-07,C04,9/1/13
97,6400,MDAMB231,phen,6.10E-07,C04,9/1/13
0,293,MDAMB231,phen,2.44E-06,C05,9/1/13
17,533,MDAMB231,phen,2.44E-06,C05,9/1/13
24,635,MDAMB231,phen,2.44E-06,C05,9/1/13
42,1136,MDAMB231,phen,2.44E-06,C05,9/1/13
49,1442,MDAMB231,phen,2.44E-06,C05,9/1/13
64,2260,MDAMB231,phen,2.44E-06,C05,9/1/13
72,2912,MDAMB231,phen,2.44E-06,C05,9/1/13
85,4045,MDAMB231,phen,2.44E-06,C05,9/1/13
97,5280,MDAMB231,phen,2.44E-06,C05,9/1/13
0,394,MDAMB231,phen,9.77E-06,C06,9/1/13
17,625,MDAMB231,phen,9.77E-06,C06,9/1/13
24,744,MDAMB231,phen,9.77E-06,C06,9/1/13
42,1084,MDAMB231,phen,9.77E-06,C06,9/1/13
49,1304,MDAMB231,phen,9.77E-06,C06,9/1/13
64,1822,MDAMB231,phen,9.77E-06,C06,9/1/13
72,2255,MDAMB231,phen,9.77E-06,C06,9/1/13
85,3070,MDAMB231,phen,9.77E-06,C06,9/1/13
97,4026,MDAMB231,phen,9.77E-06,C06,9/1/13
0,276,MDAMB231,phen,3.91E-05,C07,9/1/13
17,416,MDAMB231,phen,3.91E-05,C07,9/1/13
24,436,MDAMB231,phen,3.91E-05,C07,9/1/13
42,450,MDAMB231,phen,3.91E-05,C07,9/1/13
49,474,MDAMB231,phen,3.91E-05,C07,9/1/13
64,494,MDAMB231,phen,3.91E-05,C07,9/1/13
