time,cell.count,cell.line,drug,conc,well,expt.date
72,551,MDAMB231,phen,3.91E-05,C07,9/1/13
85,604,MDAMB231,phen,3.91E-05,C07,9/1/13
97,666,MDAMB231,phen,3.91E-05,C07,9/1/13
0,346,MDAMB231,phen,0.000156,C08,9/1/13
17,480,MDAMB231,phen,0.000156,C08,9/1/13
24,502,MDAMB231,phen,0.000156,C08,9/1/13
42,535,MDAMB231,phen,0.000156,C08,9/1/13
49,546,MDAMB231,phen,0.000156,C08,9/1/13
64,567,MDAMB231,phen,0.000156,C08,9/1/13
72,570,MDAMB231,phen,0.000156,C08,9/1/13
85,613,MDAMB231,phen,0.000156,C08,9/1/13
97,652,MDAMB231,phen,0.000156,C08,9/1/13
0,299,MDAMB231,phen,0.000625,C09,9/1/13
17,388,MDAMB231,phen,0.000625,C09,9/1/13
24,405,MDAMB231,phen,0.000625,C09,9/1/13
42,428,MDAMB231,phen,0.000625,C09,9/1/13
49,412,MDAMB231,phen,0.000625,C09,9/1/13
64,422,MDAMB231,phen,0.000625,C09,9/1/13
72,422,MDAMB231,phen,0.000625,C09,9/1/13
85,406,MDAMB231,phen,0.000625,C09,9/1/13
97,417,MDAMB231,phen,0.000625,C09,9/1/13
0,327,MDAMB231,phen,0.0025,C10,9/1/13
17,390,MDAMB231,phen,0.0025,C10,9/1/13
24,393,MDAMB231,phen,0.0025,C10,9/1/13
42,384,MDAMB231,phen,0.0025,C10,9/1/13
49,340,MDAMB231,phen,0.0025,C10,9/1/13
64,291,MDAMB231,phen,0.0025,C10,9/1/13
72,282,MDAMB231,phen,0.0025,C10,9/1/13
85,264,MDAMB231,phen,0.0025,C10,9/1/13
97,195,MDAMB231,phen,0.0025,C10,9/1/13
0,205,MDAMB231,phen,0.01,C11,9/1/13
17,282,MDAMB231,phen,0.01,C11,9/1/13
24,278,MDAMB231,phen,0.01,C11,9/1/13
42,264,MDAMB231,phen,0.01,C11,9/1/13
49,234,MDAMB231,phen,0.01,C11,9/1/13
64,247,MDAMB231,phen,0.01,C11,9/1/13
72,249,MDAMB231,phen,0.01,C11,9/1/13
85,270,MDAMB231,phen,0.01,C11,9/1/13
97,181,MDAMB231,phen,0.01,C11,9/1/13
0,305,MDAMB231,rot,0,D02,9/1/13
17,521,MDAMB231,rot,0,D02,9/1/13
24,640,MDAMB231,rot,0,D02,9/1/13
42,1120,MDAMB231,rot,0,D02,9/1/13
49,1320,MDAMB231,rot,0,D02,9/1/13
64,2210,MDAMB231,rot,0,D02,9/1/13
72,2849,MDAMB231,rot,0,D02,9/1/13
85,4085,MDAMB231,rot,0,D02,9/1/13
97,5473,MDAMB231,rot,0,D02,9/1/13
0,333,MDAMB231,rot,2.44E-10,D03,9/1/13
17,620,MDAMB231,rot,2.44E-10,D03,9/1/13
24,764,MDAMB231,rot,2.44E-10,D03,9/1/13
42,1391,MDAMB231,rot,2.44E-10,D03,9/1/13
49,1706,MDAMB231,rot,2.44E-10,D03,9/1/13
64,2772,MDAMB231,rot,2.44E-10,D03,9/1/13
72,3595,MDAMB231,rot,2.44E-10,D03,9/1/13
85,5076,MDAMB231,rot,2.44E-10,D03,9/1/13
97,6292,MDAMB231,rot,2.44E-10,D03,9/1/13
0,263,MDAMB231,rot,9.77E-10,D04,9/1/13
17,454,MDAMB231,rot,9.77E-10,D04,9/1/13
24,525,MDAMB231,rot,9.77E-10,D04,9/1/13
42,919,MDAMB231,rot,9.77E-10,D04,9/1/13
49,1144,MDAMB231,rot,9.77E-10,D04,9/1/13
64,1850,MDAMB231,rot,9.77E-10,D04,9/1/13
72,2351,MDAMB231,rot,9.77E-10,D04,9/1/13
85,3532,MDAMB231,rot,9.77E-10,D04,9/1/13
97,4554,MDAMB231,rot,9.77E-10,D04,9/1/13
0,240,MDAMB231,rot,3.91E-09,D05,9/1/13
17,392,MDAMB231,rot,3.91E-09,D05,9/1/13
24,468,MDAMB231,rot,3.91E-09,D05,9/1/13
42,620,MDAMB231,rot,3.91E-09,D05,9/1/13
49,727,MDAMB231,rot,3.91E-09,D05,9/1/13
64,1074,MDAMB231,rot,3.91E-09,D05,9/1/13
72,1301,MDAMB231,rot,3.91E-09,D05,9/1/13
85,1835,MDAMB231,rot,3.91E-09,D05,9/1/13
97,2466,MDAMB231,rot,3.91E-09,D05,9/1/13
0,236,MDAMB231,rot,1.56E-08,D06,9/1/13
17,356,MDAMB231,rot,1.56E-08,D06,9/1/13
24,360,MDAMB231,rot,1.56E-08,D06,9/1/13
42,398,MDAMB231,rot,1.56E-08,D06,9/1/13
49,436,MDAMB231,rot,1.56E-08,D06,9/1/13
64,488,MDAMB231,rot,1.56E-08,D06,9/1/13
72,590,MDAMB231,rot,1.56E-08,D06,9/1/13
85,680,MDAMB231,rot,1.56E-08,D06,9/1/13
97,781,MDAMB231,rot,1.56E-08,D06,9/1/13
0,339,MDAMB231,rot,6.25E-08,D07,9/1/13
17,461,MDAMB231,rot,6.25E-08,D07,9/1/13
24,481,MDAMB231,rot,6.25E-08,D07,9/1/13
42,499,MDAMB231,rot,6.25E-08,D07,9/1/13
49,520,MDAMB231,rot,6.25E-08,D07,9/1/13
64,569,MDAMB231,rot,6.25E-08,D07,9/1/13
72,617,MDAMB231,rot,6.25E-08,D07,9/1/13
85,675,MDAMB231,rot,6.25E-08,D07,9/1/13
97,701,MDAMB231,rot,6.25E-08,D07,9/1/13
0,318,MDAMB231,rot,2.50E-07,D08,9/1/13
17,442,MDAMB231,rot,2.50E-07,D08,9/1/13
24,479,MDAMB231,rot,2.50E-07,D08,9/1/13
42,489,MDAMB231,rot,2.50E-07,D08,9/1/13
49,483,MDAMB231,rot,2.50E-07,D08,9/1/13
64,517,MDAMB231,rot,2.50E-07,D08,9/1/13
72,532,MDAMB231,rot,2.50E-07,D08,9/1/13
85,555,MDAMB231,rot,2.50E-07,D08,9/1/13
97,606,MDAMB231,rot,2.50E-07,D08,9/1/13
0,254,MDAMB231,rot,1.00E-06,D09,9/1/13
17,298,MDAMB231,rot,1.00E-06,D09,9/1/13
24,338,MDAMB231,rot,1.00E-06,D09,9/1/13
42,345,MDAMB231,rot,1.00E-06,D09,9/1/13
49,339,MDAMB231,rot,1.00E-06,D09,9/1/13
64,343,MDAMB231,rot,1.00E-06,D09,9/1/13
72,344,MDAMB231,rot,1.00E-06,D09,9/1/13
85,358,MDAMB231,rot,1.00E-06,D09,9/1/13
97,365,MDAMB231,rot,1.00E-06,D09,9/1/13
0,256,MDAMB231,rot,4.00E-06,D10,9/1/13
17,288,MDAMB231,rot,4.00E-06,D10,9/1/13
24,283,MDAMB231,rot,4.00E-06,D10,9/1/13
42,288,MDAMB231,rot,4.00E-06,D10,9/1/13
49,290,MDAMB231,rot,4.00E-06,D10,9/1/13
64,296,MDAMB231,rot,4.00E-06,D10,9/1/13
72,292,MDAMB231,rot,4.00E-06,D10,9/1/13
85,296,MDAMB231,rot,4.00E-06,D10,9/1/13
97,294,MDAMB231,rot,4.00E-06,D10,9/1/13
0,238,MDAMB231,rot,1.60E-05,D11,9/1/13
17,274,MDAMB231,rot,1.60E-05,D11,9/1/13
24,278,MDAMB231,rot,1.60E-05,D11,9/1/13
42,294,MDAMB231,rot,1.60E-05,D11,9/1/13
49,291,MDAMB231,rot,1.60E-05,D11,9/1/13
64,302,MDAMB231,rot,1.60E-05,D11,9/1/13
72,314,MDAMB231,rot,1.60E-05,D11,9/1/13
85,312,MDAMB231,rot,1.60E-05,D11,9/1/13
97,328,MDAMB231,rot,1.60E-05,D11,9/1/13
0,262,MDAMB231,rot,0,E02,9/1/13
17,419,MDAMB231,rot,0,E02,9/1/13
24,538,MDAMB231,rot,0,E02,9/1/13
42,1029,MDAMB231,rot,0,E02,9/1/13
49,1151,MDAMB231,rot,0,E02,9/1/13
64,1923,MDAMB231,rot,0,E02,9/1/13
72,2541,MDAMB231,rot,0,E02,9/1/13
85,3694,MDAMB231,rot,0,E02,9/1/13
97,4920,MDAMB231,rot,0,E02,9/1/13
0,293,MDAMB231,rot,2.44E-10,E03,9/1/13
17,544,MDAMB231,rot,2.44E-10,E03,9/1/13
24,625,MDAMB231,rot,2.44E-10,E03,9/1/13
42,1169,MDAMB231,rot,2.44E-10,E03,9/1/13
49,1435,MDAMB231,rot,2.44E-10,E03,9/1/13
64,2322,MDAMB231,rot,2.44E-10,E03,9/1/13
72,3027,MDAMB231,rot,2.44E-10,E03,9/1/13
85,4227,MDAMB231,rot,2.44E-10,E03,9/1/13
97,5420,MDAMB231,rot,2.44E-10,E03,9/1/13
0,341,MDAMB231,rot,9.77E-10,E04,9/1/13
17,637,MDAMB231,rot,9.77E-10,E04,9/1/13
24,743,MDAMB231,rot,9.77E-10,E04,9/1/13
42,1369,MDAMB231,rot,9.77E-10,E04,9/1/13
49,1605,MDAMB231,rot,9.77E-10,E04,9/1/13
64,2511,MDAMB231,rot,9.77E-10,E04,9/1/13
72,3053,MDAMB231,rot,9.77E-10,E04,9/1/13
85,4467,MDAMB231,rot,9.77E-10,E04,9/1/13
97,5612,MDAMB231,rot,9.77E-10,E04,9/1/13
0,302,MDAMB231,rot,3.91E-09,E05,9/1/13
17,483,MDAMB231,rot,3.91E-09,E05,9/1/13
24,523,MDAMB231,rot,3.91E-09,E05,9/1/13
42,757,MDAMB231,rot,3.91E-09,E05,9/1/13
49,850,MDAMB231,rot,3.91E-09,E05,9/1/13
64,1251,MDAMB231,rot,3.91E-09,E05,9/1/13
72,1521,MDAMB231,rot,3.91E-09,E05,9/1/13
85,2068,MDAMB231,rot,3.91E-09,E05,9/1/13
97,2776,MDAMB231,rot,3.91E-09,E05,9/1/13
0,276,MDAMB231,rot,1.56E-08,E06,9/1/13
17,367,MDAMB231,rot,1.56E-08,E06,9/1/13
24,398,MDAMB231,rot,1.56E-08,E06,9/1/13
42,451,MDAMB231,rot,1.56E-08,E06,9/1/13
49,461,MDAMB231,rot,1.56E-08,E06,9/1/13
64,568,MDAMB231,rot,1.56E-08,E06,9/1/13
72,619,MDAMB231,rot,1.56E-08,E06,9/1/13
85,783,MDAMB231,rot,1.56E-08,E06,9/1/13
97,914,MDAMB231,rot,1.56E-08,E06,9/1/13
0,197,MDAMB231,rot,6.25E-08,E07,9/1/13
17,240,MDAMB231,rot,6.25E-08,E07,9/1/13
24,268,MDAMB231,rot,6.25E-08,E07,9/1/13
42,287,MDAMB231,rot,6.25E-08,E07,9/1/13
49,297,MDAMB231,rot,6.25E-08,E07,9/1/13
64,320,MDAMB231,rot,6.25E-08,E07,9/1/13
72,347,MDAMB231,rot,6.25E-08,E07,9/1/13
85,387,MDAMB231,rot,6.25E-08,E07,9/1/13
97,417,MDAMB231,rot,6.25E-08,E07,9/1/13
0,335,MDAMB231,rot,2.50E-07,E08,9/1/13
17,434,MDAMB231,rot,2.50E-07,E08,9/1/13
24,459,MDAMB231,rot,2.50E-07,E08,9/1/13
42,484,MDAMB231,rot,2.50E-07,E08,9/1/13
49,496,MDAMB231,rot,2.50E-07,E08,9/1/13
64,509,MDAMB231,rot,2.50E-07,E08,9/1/13
72,549,MDAMB231,rot,2.50E-07,E08,9/1/13
85,569,MDAMB231,rot,2.50E-07,E08,9/1/13
97,611,MDAMB231,rot,2.50E-07,E08,9/1/13
0,273,MDAMB231,rot,1.00E-06,E09,9/1/13
17,335,MDAMB231,rot,1.00E-06,E09,9/1/13
24,334,MDAMB231,rot,1.00E-06,E09,9/1/13
42,356,MDAMB231,rot,1.00E-06,E09,9/1/13
49,373,MDAMB231,rot,1.00E-06,E09,9/1/13
64,367,MDAMB231,rot,1.00E-06,E09,9/1/13
72,356,MDAMB231,rot,1.00E-06,E09,9/1/13
85,371,MDAMB231,rot,1.00E-06,E09,9/1/13
97,382,MDAMB231,rot,1.00E-06,E09,9/1/13
0,276,MDAMB231,rot,4.00E-06,E10,9/1/13
17,296,MDAMB231,rot,4.00E-06,E10,9/1/13
24,293,MDAMB231,rot,4.00E-06,E10,9/1/13
42,297,MDAMB231,rot,4.00E-06,E10,9/1/13
49,306,MDAMB231,rot,4.00E-06,E10,9/1/13
64,299,MDAMB231,rot,4.00E-06,E10,9/1/13
72,295,MDAMB231,rot,4.00E-06,E10,9/1/13
85,312,MDAMB231,rot,4.00E-06,E10,9/1/13
97,310,MDAMB231,rot,4.00E-06,E10,9/1/13
0,268,MDAMB231,rot,1.60E-05,E11,9/1/13
17,309,MDAMB231,rot,1.60E-05,E11,9/1/13
24,306,MDAMB231,rot,1.60E-05,E11,9/1/13
42,324,MDAMB231,rot,1.60E-05,E11,9/1/13
49,305,MDAMB231,rot,1.60E-05,E11,9/1/13
64,334,MDAMB231,rot,1.60E-05,E11,9/1/13
72,333,MDAMB231,rot,1.60E-05,E11,9/1/13
85,344,MDAMB231,rot,1.60E-05,E11,9/1/13
97,331,MDAMB231,rot,1.60E-05,E11,9/1/13
